County,District Name,District Type,Grade Levels,"Number of Schools
(2021-22)",High School Partner District if Elementary,Total # of Jurisdictions Per School District,"Jurisdiction Name
(list on separate line for each jurisdiction)","Student Enrollment 
(2021-22)","# of Certificated Teachers
(2018-19)","Expense of Education per ADA 
(2020-21)","% Unduplicated 
(2021-22)","% FRM 
(2021-22)","% English Learners 
(2021-22)","Total GO Bonds and Parcel Taxes Attempted 
(2000 - 2029)","Total GO Bonds and Parcel Taxes Passed 
(2000 - 2029)","Most Recent Passed GO Bond Measure Year
(2000-2029) ","Total Amount of GO Bond Measure Funding ($)
(2000-2029)",Average CalEnviroScreen Pollution Burden,Average CalEnviroScreen Percentile,"Green Ribbon District
1 (Yes) 0 (No)",Green Ribbon Highest District Level Achievement,"Green Ribbon for Individual Schools within District
1 (Yes) 0 (No)",Board Policies Link,"Policies List 
(enter a separate line for each)","BP: 3510 Green Schools Operations 
1 (Yes) 0 (No)",BP: 3510 Year Adopted,BP: 3510 Most Recent Update/Revision,"BP: 3511 Energy And Water Management 
1 (Yes) 0 (No)",BP: 3511 Year Adopted ,BP: 3511 Most Recent Update/Revision,"BP: 3511.1 Integrated Waste Management
1 (Yes) 0 (No)",BP: 3511.1 Year Adopted,BP: 3511.1 Most Recent Update/Revision,"BP: 3514 Environmental Safety
1 (Yes) 0 (No)",BP: 3514 Year Adopted,BP: 3514 Most Recent Update/Revision,"BP: 3514.1 Hazardous Substances
1 (Yes) 0 (No)",BP: 3514.1 Year Adopted,BP: 3514.1 Most Recent Update/Revision,"BP: 6142.5 Environmental Education
1 (Yes) 0 (No)",BP: 6142.5 Year Adopted,BP: 6142.5 Most Recent Update/Revision,"BP:7110 Facilities Master Plan
1 (Yes) 0 (No)",BP:7110 Year Adopted,BP: 7110 Most Recent Update/Revision,Total Approved Policies,"Published Facilities Master Plan
1 (Yes) 0 (No)",FMP Year Adopted,FMP Year Most Recent Revision/Update,FMP Link,"Climate Change Resolutions / Climate Emergency Declarations
1 (Yes) 0 (No)","Climate Change Resolutions / Climate Emergency Declarations 
Year Adopted ","Climate Change Resolutions / Climate Emergency Declarations
Most Recent Update/Revision","Climate Change Resolutions / Climate Emergency Declarations
Notes","Other Board Policies, Resolutions, and Declarations 
(list each as a hyperlink and on a separate line)","District-Wide Sustainability Initiatives
1 (Yes) 0 (No)","District-Wide Evidence of Campus Sustainability
1 (Yes) 0 (No)","District-Wide Evidence of Environmental Literacy Curriculum
1 (Yes) 0 (No)","District-Wide Evidence of Community and Culture Sustainability
1 (Yes) 0 (No)","District-Wide Sustainability Website
1 (Yes) 0 (No)","Sustainability Initiatives Notes
(District and Site-Level)","District-Wide Sustainability Staff
1 (Yes) 0 (No)","District-Wide Campus Sustainability Related Job
1 (Yes) 0 (No)","District-Wide Environmental Literacy Curriculum and Community and Culture Related Job
1 (Yes) 0 (No)","Site-Level Environmental Literacy Curriculum and Community and Culture Related Job 
1 (Yes) 0 (No)","Sustainability Staff Notes
(District and Site-Level)"
Orange,Anaheim Elementary,Elementary School District,K-06,26,N/A,1,Anaheim,"15,409",861,"$22,343",87.53 %,75.30%,49.40%,3,3,2016,"598,300,000",56.9609,91.7,0,N/A,0,Anaheim Elementary BPs,"3510
3511
3511.1
6142.5
7110",1,2011,2019,1,2011,2019,1,2011,2021,0,N/A,N/A,0,N/A,N/A,1,2021,*,1,2011,2022,5,1,2016,2021,Anaheim Elementary FMP,,,,,,0,1,1,0,*,"Electric School Buses
Green-Energy focus (Solar Panels)
Collaboration with outdoor learning programs",0,0,0,0,N/A
Orange,Anaheim Union High,High School District,7-12,21,N/A,4,"Anaheim
Cypress
Buena Park
La Palma","28,404","1,201","$18,758",76.56%,73.50%,21.30%,3,2,2014,"381,000,000",49.3751,76.66,0,N/A,1,Anaheim Union High BPs,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,1,2022,*,Anaheim Union High FMP,,,,,,1,1,1,1,1,"Electric School Bus
Green Ribbon Award for one school
Solar powered freezer to fight food security in the community
Green CTE at one site
Magnolia Agriscience Community Center (produce used in severral site cafeterias)
Environmental Justice in curriculum
Anaheim High School is starting a garden
Energy Management and Environmental Complaince (No information on the page)",1,1,0,1,"Energy Manager
Sabina Giakoumis (MACC project coordinator and teacher)
Green CTE at one site"
Orange,Brea-Olinda Unified,Unified School District,K-12,10,N/A,1,Brea,"5,866",253,"$14,793",30.93 %,23.40%,9.90%,3,0,N/A,N/A,59.0217,93.17,0,N/A,0,Brea Olinda BPs,7110,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,2000,*,1,0,N/A,N/A,N/A,,,,,,0,0,1,0,0,outdoor learning program (run by COE),0,0,0,0,N/A
Orange,Buena Park Elementary,Elementary School District,K-08,7,N/A,1,Buena Park,"4,015",205,"$19,333",80.40%,74.60%,34.60%,2,1,2014,"71,000,000",61.8914,95.48,0,N/A,0,Buena Park Elementary BPs,"3510
3511
3511.1
3514
3514.1
6143.5
7110",1,2010,2020,1,2004,2019,1,2022,*,1,2001,2009,1,2001,2014,1,2017,*,1,2001,2022,7,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,"Plan for solar
Work with Orange COE's Indoor Outdoor Program",0,0,0,0,N/A
Orange,Capistrano Unified,Unified School District,K-12,65,N/A,12,"Aliso Viejo
Rancho Santa Margarita
Mission Viejo
San Clemente
San Juan Capistrano
Ladera Ranch
Laguna Niguel
Dana Point
Rancho Mission Viejo
Las Flores
Capistrano Beach
Coto de Caza","49,974","2,192","$15,026",23.45%,25.9 %,9.60%,N/A,N/A,N/A,N/A,35.4731,36.53,0,N/A,1,Capistrano Unified BPs,"3514
3514.1
6142.5
7110",0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,1996,*,1,1996,*,1,1999,*,1,1996,2020,4,0,N/A,N/A,N/A,,,,,,1,1,1,1,0,"Magnet school with environmental focus
Student and community advocacy for solar
Solar panels
Gardening part of adult transition program
Green CTEs (renewable energy and environmental studies)",0,0,0,1,Green CTEs (renewable energy and environmental studies)
Orange,Centralia Elementary,Elementary School District,K-06,8,N/A,3,"Anaheim
Buena Park
La Palma","4,077",175,"$16,592",70.31%,64.90%,24.70%,2,2,2016,"66,500,000",46.9997,69.28,0,N/A,1,Centralia Elementary BPs,"3511.1
3514
3514.1
6142.5
7110",0,N/A,N/A,0,N/A,N/A,1,2013,*,1,2008,*,1,2014,*,1,2008,*,1,2008,*,5,0,N/A,N/A,N/A,,,,,,0,1,1,0,0,"Solar Panels
Garden education at several sites ",0,0,0,0,N/A
Orange,Cypress Elementary,Elementary School District,K-06,6,N/A,2,"Cypress
La Palma","3,414",175,"$16,551",50.29%,43.20%,15.60%,1,1,2008,"53,600,000",41.2748,53.97,0,N/A,1,Cypress Elementary BPs,"3510
3511
3511.1
3514
3514.1
7110",1,2015,2019,1,2015,2019,1,2015,2021,1,2018,*,1,2018,*,0,N/A,N/A,1,2015,2022,6,1,2014,2023,Cypress Elementary FMP,,,,,,0,0,1,0,0,Environmental Literacy initiatives in 2017 but couldn't find any information,0,0,0,0,N/A
Orange,Fountain Valley Elementary,Elementary School District,K-08,10,N/A,2,"Fountain Valley
Huntington Beach","5,998",258,"$13,160",28.59%,21.50%,11.70%,2,1,2016,"63,000,000",44.0023,61.35,0,N/A,0,Fountain Valley Elementary BPs,"3511
3514
3514.1
7110",0,N/A,N/A,1,2017,*,0,N/A,N/A,1,2018,*,1,2018,*,0,N/A,N/A,1,2017,*,4,1,2016,*,Fountain Valley Elementary FMP,,,,,,0,1,0,0,0,"Solar project with Chevron
Energie Efficiency partnership with Engenie",0,0,0,0,N/A
Orange,Fullerton Elementary,Elementary School District,K-08,20,N/A,1,Fullerton,"11,681",557,"$16,604",60.80%,55.90%,22.20%,2,1,2002,"49,700,000",52.7348,83.49,0,N/A,0,Fullerton Elementary BPs,"3511
6142.5",0,N/A,N/A,1,1991,*,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,2010,*,0,N/A,N/A,2,0,N/A,N/A,N/A,,,,,,0,1,0,0,0,"Solar Projects
School Garden at one site",0,0,0,0,N/A
Orange,Fullerton Joint Union High,High School District,09-12,8,N/A,3,"Fullerton
Buena Park
La Habra","13,431",536,"$16,036",59.12%,56.20%,11.60%,2,1,2014,"242,900,000",49.3534,76.48,0,N/A,0,Fullerton Joint Union High BPs,3514,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,2009,*,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,1,2016,2022,Fullerton Joint Union High FMP,,,,,,0,1,0,0,0,Districtwide solar project,1,1,0,0,Energy/Construction Manager
Orange,Garden Grove Unified,Unified School District,K-12,66,N/A,5,"Garden Grove
Stanton
Fountain Valley
Santa Ana
Westminister","38,560","1,944","$18,727",77.07%,71.80%,33%,2,2,2016,"561,000,000",45.7126,66.14,0,N/A,0,Garden Grove Unified BPs,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,0,N/A,N/A,N/A,,,,,,0,1,0,1,1,"- The district has put in efforts on facilities in regards to energy and water conservation, and also has a large bond measures for faciliites upgrades
- Santiago High School Sustainability Council: Santiago High Schoolâ€™s Sustainability Council 
- Water Conservation efforts: https://www.ggusd.us/news/ggusd-students-showcase-new-water-conservation-initiatives 
- Zero Net Energy Award in 2017: https://www.ggusd.us/news/ggusd-honored-with-green-schools-award-for-exemplary-leadership-in-zero-net-energy 
- Santiago High School Sustainability: https://ggusd.us/news/santiago-students-advocate-for-the-environment-through-national-art-project ",0,0,0,0,N/A
Orange,Huntington Beach City Elementary,Elementary School District,K-08,9,N/A,1,Huntington Beach,"5,224",289,"$16,791",20.53 %,21.57%,5.60%,3,2,2016,"189,850,000",38.3771,45.85,0,N/A,0,Huntington Beach City Elementary BPs,"3510
3511
3514
3514.1
7110",1,2012,*,1,2012,*,0,N/A,N/A,1,2019,*,1,2019,*,0,N/A,N/A,1,2012,2022,5,0,N/A,N/A,N/A,,,,,,0,1,1,0,0,"Solar Panel Project with Chevron
Solar Panel Project with curriculum resources (Engenie)
Opterra Partnership",0,0,0,0,N/A
Orange,Huntington Beach Union High,High School District,09-12,8,N/A,3,"Westminster
Huntington Beach
Fountain Valley","15,098",700,"$16,412",52.27%,50.90%,10.70%,2,1,2004,"238,000,000",50.9428,80.44,0,N/A,0,Huntington Beach Union High BPs,3511,0,N/A,N/A,1,1987,2018,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,One site has a Academy of Sustainability and Engineering (ASE)  ,0,0,0,1,One site has a Academy of Sustainability and Engineering (ASE)  
Orange,Laguna Beach Unified,Unified School District,K-12,4,N/A,1,Laguna Beach,"2,578",153,"$31,070",19.24%,18.30%,2.4 %,1,1,2001,"39,000,000",43.983,61.16,0,N/A,1,Laguna Beach Unified,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2021,*,1,2021,*,1,2021,*,1,2013,2018,1,2018,*,1,2022,*,1,2022,*,7,1,2021,*,Laguna Beach Unified FMP,,,,,,1,1,1,1,1,Sustainability ,1,0,1,0,Coordinator of Environmental Literacy
Orange,La Habra City Elementary,Elementary School District,K-08,9,N/A,1,La Habra,"4,499",215,"$18,124",80.82%,65.30%,26%,2,2,2012,"47,000,000",53.8448,85.98,0,N/A,0,La Habra City Elementary BPs,"3511
3514
3514.1",0,N/A,N/A,1,*,*,0,N/A,N/A,1,*,*,1,*,*,0,N/A,N/A,0,N/A,N/A,3,1,2012,*,La Habra City Elementary FMP,,,,,,0,0,0,0,0,Middle Schoolers participated in competition to tackle environmental issues,0,0,0,0,N/A
Orange,Magnolia Elementary,Elementary School District,K-06,9,N/A,2,"Anaheim
Stanton","5,121",252,"$20,745",86.33%,81.70%,41.70%,2,2,2010,"26,000,000",53.8974,86.25,0,N/A,0,Magnolia Elementary BPs,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2019,*,1,1995,2019,1,2018,2021,1,1995,2019,1,1995,2000,1,1995,2021,1,2005,2022,7,0,N/A,N/A,N/A,,,,,,1,1,1,1,0,"Energy Conservation (Partnership with Engenie) - solar panels and STEM kits
Water filling stations, recycling program, student conservation clubs",0,0,0,0,N/A
Orange,Newport-Mesa Unified,Unified School District,K-12,32,N/A,3,"Corona Del Mar
Costa Mesa
Newport Beach","17,962","1,102","$24,842",40.71%,33.60%,18.30%,2,2,2005,"392,000,000",44.8254,64.11,0,N/A,0,Newport-Mesa Unified BPs,"3511
3511.1
3514
3514.1
7110",0,N/A,N/A,1,2009,*,1,2009,*,1,2018,*,1,2009,*,0,N/A,N/A,1,2009,*,5,0,N/A,N/A,N/A,,,,,,0,1,0,0,0,"Solar Projects
LED Retrofit
Field Trips to Environmental Nature Center",1,1,0,0,Energy Manager
Orange,Ocean View,Elementary School District,K-08,14,N/A,4,"Huntington Beach
Midway City
Fountain Valley
Westminster","6,942",354,"$16,351",58.93%,57%,20.70%,2,1,2016,"169,000,000",49.7603,77.77,0,N/A,1,Ocean View BPs,"3511
3511.1
3514",0,N/A,N/A,1,2001,*,1,2002,*,1,1991,*,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,3,1,N/A,N/A,N/A,,,,,,0,0,1,0,0,The Ocean View School District's Environmental Science Program is based at Golden View Elementary School in Huntington Beach,0,0,0,0,N/A
Orange,Orange Unified,Unified School District,K-12,43,N/A,5,"Anaheim
Orange
Villa Park
Santa Ana
Garden Grove","26,756","1,245","$16,145",41.87%,38.80%,18%,4,1,2016,"288,000,000",47.4297,71.13,0,N/A,0,Orange Unified BPs ,"3510
3511
3514
3514.1
6142.5
7110",1,2019,*,1,2006,2019,0,N/A,N/A,1,1988,2006,1,1988,2006,1,1992,2008,1,1988,1997,6,1,2021,*,Orange Unified FMP,,,,,,0,1,1,0,0,"Solar Project
 Preschool Gardening Program",1,1,0,1,"-Energy Manager            
-Energy Construction and Utlilities  
"
Orange,Placentia-Yorba Linda Unified,Unified School District,K-12,34,N/A,4,"Yorba Linda
Placentia
Anaheim
Fullerton","23,657","1,061","$15,052",47.88%,45.20%,14.40%,2,2,2008,"302,000,000",45.5848,65.87,0,N/A,0,Placentia BPs,"3510
3511
6142.5
7110",1,1968,*,1,2013,*,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,1991,*,1,1976,0,4,0,N/A,N/A,N/A,,,,,,0,1,0,0,0,Energy Conservation ???,1,1,0,0,-Energy Conservation Specialist
Orange,Santa Ana Unified,Unified School District,K-12,57,N/A,1,Santa Ana,"44,102","2,329","$23,065",76.23%,59.40%,40.40%,3,3,2018,"432,000,000",52.8696,83.67,0,N/A,0,Santa Ana Unified BPs,"3511
3511.1
3514
3514.1
6142.5
7110",0,N/A,N/A,1,1984,2018,1,2003,2017,1,1998,2017,1,1998,2017,1,2002,*,1,2002,2017,6,1,2018,*,Santa Ana Unified FMP,,,,,,0,1,1,0,1,"- In 2014, the Santa Ana Unified School District joined a REV Sustainability Circle, and had an energy manager in 2015
- The environmental sustainability seems to be continuing with construction and rennovation, but no obvious sustainability initiative
- Efforts in CTE with Energy and Environment Pathways, Green Architecture, Agriculture, etc. 
- REV Circle and Turf Efforts: https://revsustainability.com/blog/insights/santa-ana-unified-school-district-scores-big-with-turf-removal-program/ ",1,1,0,0,-Energy Manager
Orange,Savanna Elementary,Elementary School District,K-06,4,N/A,2,"Anaheim
Buena Park","1,843",110,"$19,212",83.82%,79.80%,34%,2,2,2012,"53,685,000",47.1424,70.11,0,N/A,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,N/A,N/A,N/A,,,,,,0,1,0,0,0,"Solar Carpot
Electric School Bus",0,0,0,0,N/A
Orange,Westminster,Elementary School District,K-08,17,N/A,4,"Midway City
Garden Grove
Huntington Beach
Westminister","8,203",452,"$17,684",79.91%,75.40%,37.80%,2,2,2016,"206,000,000",49.8368,77.95,0,N/A,1,Westminster BPs,"3514
3514.1
7110",0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,1990,1996,1,1990,*,0,N/A,N/A,1,1990,2017,3,0,N/A,N/A,N/A,,,,,,0,1,0,0,0,Energy Efficiency Prop 39 projects,0,0,0,0,N/A
Orange,Saddleback Valley Unified,Unified School District,K-12,34,N/A,6,"Rancho Santa Margarita
Mission Viejo
Lake Forest
Foothill Ranch
Laguna Hills
Trabuco Canyon","24,390","1,046","$15,271",36.84%,31.10%,18.70%,2,1,2004,"180,000,000",37.8991,44.37,0,N/A,1,Saddleback Valley Unified BPs,"3510
3511
3514
3514.1
6142.5
7110",1,2019,*,1,1990,2019,0,N/A,N/A,1,1990,2018,1,1988,2018,1,1990,2023,1,1986,2012,6,1,2019,*,Saddleback Valley Unified FMP,,,,,,0,1,1,0,0,"Solar Project?
- Energy Manager Sustainable Agriculture CTE. 
- STEAM Magnet School
- Garden Programs?",1,1,0,1,"-Energy Manager                
-Sustainable Agriculture CTE.                
-STEAM Magnet School"
Orange,Tustin Unified,Unified School District,K-12,28,N/A,3,"Irvine
Santa Ana
Tustin","22,140",922,"$15,314",40.44%,33.30%,17.10%,4,3,2012,"310,000,000",44.1563,62,0,N/A,0,Tustin Unified BPs,"3510
3511",1,1973,1986,1,1973,1974,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,2,0,N/A,N/A,N/A,,,,,,0,1,0,1,0,"Solar Project
School Garden at one site
Recycling and composting efforts",0,0,0,0,N/A
Orange,Irvine Unified,Unified School District,K-12,44,N/A,,Irvine,"36,083","1,525","$13,901",30.82%,19.50%,16.40%,3,1,2016,"319,000,000",45.3679,65.50,0,N/A,0,Irvine BPs,7110,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,1974,*,1,1,2012,*,Irvine Unified FMP,,,,,,1,1,1,1,1,"Whole systems approach with emphasis on facilities, and lighter efforts in curriculum and community
- Sustainability Webpage: https://iusd.org/business-services/maintenance-and-operations/iusd-sustainability ",1,1,1,1,"- Jennifer Razo Sustainability Supervisor.                                            
- Energy Management Team                                  
- Green Team (Recycling related)"
Orange,Los Alamitos Unified,Unified School District,K-12,9,N/A,2,"Los Alamitos
Seal Beach","9,133",419,"$14,335",17.42%,16.10%,2.20%,2,2,2018,"223,000,000",59.8191,93.82,0,N/A,0,Los Alamitos Unified BPs,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,0,N/A,N/A,N/A,,,,,,0,1,1,0,0,"Districtwide Solar Project
Outdoor Science School for 5th graders
New STEM building on high school campus is energy efficient",0,0,0,0,N/A
Orange,Lowell Joint,Elementary School District,K-08,6,N/A,2,"La Habra
Whittier","3,047",137,"$13,339",55.79%,53.20%,7.50%,2,1,2018,"48,000,000",50.0804,69.4752,0,N/A,0,Lowell Joint BPs,"3514
6142.5",0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,1987,2005,0,N/A,N/A,1,1987,2006,0,N/A,N/A,2,1,2021,*,Lowell Joint FMP,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
Orange,"Tustin Union High 
closed  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,